City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
140,nsanje,32,MZ,1525368268,66,-16.92,35.26,78.74,8.08
141,aklavik,75,CA,1525366800,79,68.22,-135.01,28.4,4.7
142,jardim,0,BR,1525368178,33,-21.48,-56.15,91.88,7.85
143,whitianga,0,NZ,1525368270,100,-36.83,175.7,61.19,7.74
144,gushikawa,20,JP,1525366800,82,26.35,127.87,68.0,13.56
145,dingle,80,PH,1525368271,99,11.0,122.67,75.32,5.61
146,coihaique,40,CL,1525366800,45,-45.58,-72.07,48.2,9.17
147,sohag,0,EG,1525368271,24,26.55,31.7,82.97,5.84
148,birobidzhan,92,RU,1525368273,94,48.79,132.93,41.57,14.67
149,duncan,40,US,1525366560,83,34.5,-97.96,75.2,10.29
150,gadwal,32,IN,1525368274,66,16.23,77.79,82.61,6.17
151,diego de almagro,0,CL,1525368274,80,-26.39,-70.05,70.19,3.6
152,nome,75,US,1525366500,61,30.04,-94.42,82.4,13.87
153,plettenberg bay,8,ZA,1525368275,98,-34.05,23.37,60.38,5.39
154,lavrentiya,64,RU,1525368275,100,65.58,-170.99,22.49,6.06
155,semirom,48,IR,1525368276,78,31.41,51.57,46.16,1.92
156,butaritari,36,KI,1525368276,100,3.07,172.79,83.96,9.75
157,forbes,92,AU,1525368276,61,-33.38,148.01,65.15,14.23
158,saldanha,0,PT,1525368277,32,41.42,-6.55,65.24,8.75
159,san patricio,0,PY,1525368277,42,-26.98,-56.83,91.16,6.73
160,codrington,80,AU,1525368278,94,-28.95,153.24,57.14,2.37
161,tasiilaq,75,GL,1525366200,80,65.61,-37.64,30.2,4.7
162,san quintin,8,PH,1525368278,79,17.54,120.52,71.27,3.15
163,naron,20,ES,1525366800,58,43.52,-8.15,59.0,9.17
164,belyy yar,0,RU,1525366800,65,53.6,91.39,41.0,15.66
165,cerrik,90,AL,1525366200,88,41.03,19.98,64.4,2.59
166,kiunga,92,PG,1525368280,95,-6.12,141.3,75.14,1.81
167,glenwood springs,90,US,1525367400,100,39.55,-107.33,46.4,3.38
168,caravelas,0,BR,1525368281,100,-17.73,-39.27,78.65,11.77
169,shingu,32,JP,1525368281,100,33.72,135.99,61.64,17.47
170,nara,88,JP,1525366800,62,34.68,135.8,57.2,21.92
171,kostino,68,BG,1525366800,64,41.7,25.3,73.4,2.24
172,nikolskoye,20,RU,1525366800,50,59.7,30.79,57.2,8.95
173,mayumba,88,GA,1525368283,100,-3.44,10.65,79.01,6.29
174,villa union,40,BO,1525363200,62,-10.79,-65.46,89.6,6.93
175,kavaratti,8,IN,1525368284,100,10.57,72.64,84.77,8.63
176,souillac,0,FR,1525366800,42,45.6,-0.6,62.6,13.87
177,namatanai,8,PG,1525368285,100,-3.66,152.44,82.43,11.21
178,laizhou,0,CN,1525368285,91,37.18,119.93,47.24,11.32
179,skeldon,88,GY,1525368264,96,5.88,-57.13,80.54,13.89
180,vao,80,EE,1525368286,53,59.1,26.19,52.91,8.19
181,bourail,0,NC,1525368286,100,-21.57,165.5,59.57,3.49
182,san jose,48,PH,1525368081,95,15.79,120.99,72.44,2.37
183,kristiansund,75,NO,1525366200,65,63.12,7.73,48.2,17.22
184,ilulissat,75,GL,1525366200,72,69.22,-51.1,17.6,11.41
185,mutsu,100,JP,1525368289,98,41.29,141.2,47.33,5.95
186,thanh hoa,8,VN,1525368289,91,10.21,106.33,80.18,3.83
187,jiazi,0,CN,1525366800,94,19.61,110.49,77.0,2.24
188,lufkin,75,US,1525366560,61,31.34,-94.73,82.4,16.11
189,kiruna,90,SE,1525366200,93,67.86,20.23,33.8,11.41
190,tirano,64,IT,1525368000,70,46.22,10.17,48.2,13.87
191,bambous virieux,40,MU,1525366800,65,-20.34,57.76,77.0,11.41
192,madras,1,US,1525366560,39,44.63,-121.13,64.4,3.36
193,santa cruz,90,US,1525366560,81,36.97,-122.03,55.4,6.93
194,acapulco,90,MX,1525362060,79,16.86,-99.88,84.2,4.7
195,leh,92,IN,1525368294,95,34.16,77.58,20.51,1.81
196,hasaki,75,JP,1525366800,82,35.73,140.83,59.0,9.17
197,pionerskiy,88,RU,1525368294,59,61.2,62.86,37.16,5.17
198,coquimbo,20,CL,1525366800,77,-29.95,-71.34,59.0,11.41
199,melilla,75,EC,1525363200,83,-0.8,-80.23,78.8,8.05
200,honiara,20,SB,1525366800,100,-9.43,159.96,77.0,2.24
201,katsuura,75,JP,1525363680,38,33.93,134.5,60.8,17.22
202,sur,0,OM,1525368296,81,22.57,59.53,85.4,2.93
203,ribas do rio pardo,56,BR,1525368297,37,-20.45,-53.76,87.74,5.5
204,comodoro rivadavia,20,AR,1525366800,94,-45.87,-67.48,59.0,18.34
205,smolenka,8,PL,1525368297,54,54.15,22.76,71.36,8.52
206,yarada,20,IN,1525368298,99,17.65,83.27,84.77,11.77
207,hilo,75,US,1525366560,94,19.71,-155.08,73.4,4.7
208,alice springs,40,AU,1525366800,59,-23.7,133.88,60.8,8.05
209,kamiichi,64,JP,1525368299,92,36.7,137.36,39.05,2.71
210,mikkeli,0,FI,1525366200,66,61.69,27.27,50.0,8.05
211,bilibino,32,RU,1525368300,81,68.06,166.44,15.56,2.26
212,banjar,0,ID,1525368300,92,-7.37,108.54,65.24,1.59
213,chiang klang,32,TH,1525368301,96,19.29,100.86,69.92,1.7
214,bubaque,0,GW,1525366800,46,11.28,-15.83,89.6,9.17
215,meulaboh,92,ID,1525368302,100,4.14,96.13,78.74,4.5
216,yellowknife,90,CA,1525366800,95,62.45,-114.38,33.8,8.05
217,eureka,90,US,1525366500,81,40.8,-124.16,53.6,4.7
218,faya,12,SA,1525363200,29,18.39,42.45,75.2,11.41
219,klyuchi,8,RU,1525368304,77,52.25,79.17,36.17,3.38
220,carnarvon,0,ZA,1525368304,49,-30.97,22.13,50.21,9.42
221,krasnouralsk,92,RU,1525368162,42,58.36,60.04,44.45,3.6
222,port blair,88,IN,1525368305,100,11.67,92.75,81.44,0.58
223,malkangiri,0,IN,1525368305,86,18.35,81.9,73.16,2.71
224,mar del plata,0,AR,1525368306,48,-46.43,-67.52,52.73,17.25
